id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
1301001,CARAUARI,13,AM,AMAZONAS,-4.8766426,-66.8961433,"-4.8766426,-66.8961433",28294
1301100,CAREIRO,13,AM,AMAZONAS,-3.8185277,-60.3616505,"-3.8185277,-60.3616505",37869
1301159,CAREIRO DA VARZEA,13,AM,AMAZONAS,-3.1970240,-59.8259104,"-3.197024,-59.8259104",30225
1301209,COARI,13,AM,AMAZONAS,-4.0885957,-63.1431166,"-4.0885957,-63.1431166",85097
1301308,CODAJAS,13,AM,AMAZONAS,-3.8413202,-62.0603444,"-3.8413202,-62.0603444",28637
1301407,EIRUNEPE,13,AM,AMAZONAS,-6.6567654,-69.8661610,"-6.6567654,-69.866161",35273
1301506,ENVIRA,13,AM,AMAZONAS,-7.4378890,-70.0281430,"-7.437889,-70.028143",20033
1301605,FONTE BOA,13,AM,AMAZONAS,-2.5147464,-66.0948424,"-2.5147464,-66.0948424",17609
1301654,GUAJARA,13,AM,AMAZONAS,-2.2135550,-54.9826850,"-2.213555,-54.982685",16678
1301704,HUMAITA,13,AM,AMAZONAS,-8.2816722,-63.9366917,"-8.2816722,-63.9366917",55080
1301803,IPIXUNA,13,AM,AMAZONAS,-1.7958100,-55.0909150,"-1.79581,-55.090915",29689
1301852,IRANDUBA,13,AM,AMAZONAS,-3.2758203,-60.1867429,"-3.2758203,-60.1867429",48296
1301902,ITACOATIARA,13,AM,AMAZONAS,-3.1477898,-58.4461041,"-3.1477898,-58.4461041",101337
1301951,ITAMARATI,13,AM,AMAZONAS,-6.4385189,-68.2437385,"-6.4385189,-68.2437385",7851
1302009,ITAPIRANGA,13,AM,AMAZONAS,-2.7461205,-58.0253770,"-2.7461205,-58.025377",9148
1302108,JAPURA,13,AM,AMAZONAS,-7.1781505,-71.8538963,"-7.1781505,-71.8538963",2755
1302207,JURUA,13,AM,AMAZONAS,-3.4746666,-66.0622335,"-3.4746666,-66.0622335",14712
1302306,JUTAI,13,AM,AMAZONAS,-1.7201400,-66.8877467,"-1.72014,-66.8877467",14317
1302405,LABREA,13,AM,AMAZONAS,-7.2613683,-64.7924505,"-7.2613683,-64.7924505",46069
1302504,MANACAPURU,13,AM,AMAZONAS,-3.2996768,-60.6213528,"-3.2996768,-60.6213528",97377
1302553,MANAQUIRI,13,AM,AMAZONAS,-3.4305885,-60.4593078,"-3.4305885,-60.4593078",32105 (2)
1302603,MANAUS,13,AM,AMAZONAS,-3.1316333,-59.9825041,"-3.1316333,-59.9825041",2182763
1302702,MANICORE,13,AM,AMAZONAS,-5.8046180,-61.2894830,"-5.804618,-61.289483",55751
1302801,MARAA,13,AM,AMAZONAS,-1.8535579,-65.5897749,"-1.8535579,-65.5897749",18224
1302900,MAUES,13,AM,AMAZONAS,-3.3795798,-57.7196072,"-3.3795798,-57.7196072",63905
1303007,NHAMUNDA,13,AM,AMAZONAS,-2.1921521,-56.7111308,"-2.1921521,-56.7111308",21173
1303106,NOVA OLINDA DO NORTE,13,AM,AMAZONAS,-3.8926889,-59.0953046,"-3.8926889,-59.0953046",37378
1303205,NOVO AIRAO,13,AM,AMAZONAS,-2.6260236,-60.9434406,"-2.6260236,-60.9434406",19454
1303304,NOVO ARIPUANA,13,AM,AMAZONAS,-5.1259290,-60.3731790,"-5.125929,-60.373179",25644
1303403,PARINTINS,13,AM,AMAZONAS,-2.6344567,-56.7319324,"-2.6344567,-56.7319324",114273
1303502,PAUINI,13,AM,AMAZONAS,-7.7122214,-66.9998441,"-7.7122214,-66.9998441",19426
1303536,PRESIDENTE FIGUEIREDO,13,AM,AMAZONAS,-2.0486359,-60.0236658,"-2.0486359,-60.0236658",36279
1303569,RIO PRETO DA EVA,13,AM,AMAZONAS,-2.6990647,-59.7012494,"-2.6990647,-59.7012494",33347
1303601,SANTA ISABEL DO RIO NEGRO,13,AM,AMAZONAS,-0.4160389,-65.0153096,"-0.4160389,-65.0153096",25156 (3)
1303700,SANTO ANTONIO DO ICA,13,AM,AMAZONAS,-3.0954430,-67.9462790,"-3.095443,-67.946279",21602
1303809,SAO GABRIEL DA CACHOEIRA,13,AM,AMAZONAS,-0.1249715,-67.0813855,"-0.1249715,-67.0813855",45564
1303908,SAO PAULO DE OLIVENCA,13,AM,AMAZONAS,-3.4650627,-68.9468462,"-3.4650627,-68.9468462",39299
1303957,SAO SEBASTIAO DO UATUMA,13,AM,AMAZONAS,-2.5719341,-57.8703616,"-2.5719341,-57.8703616",14020
1304005,SILVES,13,AM,AMAZONAS,-2.8372614,-58.2105199,"-2.8372614,-58.2105199",9171
1304062,TABATINGA,13,AM,AMAZONAS,-2.2542498,-55.7801216,"-2.2542498,-55.7801216",65844
1304104,TAPAUA,13,AM,AMAZONAS,-5.6232283,-63.1879157,"-5.6232283,-63.1879157",17156
1304203,TEFE,13,AM,AMAZONAS,-3.3485276,-64.7102278,"-3.3485276,-64.7102278",59849
1304237,TONANTINS,13,AM,AMAZONAS,-2.8626100,-67.7735482,"-2.86261,-67.7735482",18755
1304260,UARINI,13,AM,AMAZONAS,-2.9827061,-65.1578615,"-2.9827061,-65.1578615",13540
1304302,URUCARA,13,AM,AMAZONAS,-2.5370730,-57.7590254,"-2.537073,-57.7590254",16256 (4)
1304401,URUCURITUBA,13,AM,AMAZONAS,-3.1304332,-58.1549157,"-3.1304332,-58.1549157",23065
1400027,AMAJARI,14,RR,RORAIMA,3.6523869,-61.4194315,"3.6523869,-61.4194315",12796
1400050,ALTO ALEGRE,14,RR,RORAIMA,2.9885800,-61.3071670,"2.98858,-61.307167",15510
1400100,BOA VISTA,14,RR,RORAIMA,2.8208478,-60.6719582,"2.8208478,-60.6719582",399213
1400159,BONFIM,14,RR,RORAIMA,3.3613818,-59.8427241,"3.3613818,-59.8427241",12409
1400175,CANTA,14,RR,RORAIMA,2.6099400,-60.6058270,"2.60994,-60.605827",18335
1400209,CARACARAI,14,RR,RORAIMA,3.4843637,-60.7897622,"3.4843637,-60.7897622",21926
1400233,CAROEBE,14,RR,RORAIMA,0.8812315,-59.6932274,"0.8812315,-59.6932274",10169
1400282,IRACEMA,14,RR,RORAIMA,2.1664742,-61.0513048,"2.1664742,-61.0513048",11950
1400308,MUCAJAI,14,RR,RORAIMA,2.4486084,-60.9199986,"2.4486084,-60.9199986",17853
1400407,NORMANDIA,14,RR,RORAIMA,3.8792356,-59.6293367,"3.8792356,-59.6293367",11290
1400456,PACARAIMA,14,RR,RORAIMA,4.4791253,-61.1471016,"4.4791253,-61.1471016",17401
1400472,RORAINOPOLIS,14,RR,RORAIMA,0.9387308,-60.4236464,"0.9387308,-60.4236464",30163
1400506,SAO JOAO DA BALIZA,14,RR,RORAIMA,0.9516590,-59.9132930,"0.951659,-59.913293",8201
1400605,SAO LUIZ,14,RR,RORAIMA,1.0170607,-60.0371719,"1.0170607,-60.0371719",7986
1400704,UIRAMUTA,14,RR,RORAIMA,4.5953692,-60.1598862,"4.5953692,-60.1598862",10559
1500107,ABAETETUBA,15,PA,PARA,-1.7218280,-48.8788430,"-1.721828,-48.878843",157698
1500131,ABEL FIGUEIREDO,15,PA,PARA,-4.9530010,-48.3958485,"-4.953001,-48.3958485",7434
1500206,ACARA,15,PA,PARA,-1.9613880,-48.1987043,"-1.961388,-48.1987043",55591
1500305,AFUA,15,PA,PARA,-0.1535664,-50.3879223,"-0.1535664,-50.3879223",39218
1500347,AGUA AZUL DO NORTE,15,PA,PARA,-6.8064885,-50.4849667,"-6.8064885,-50.4849667",27430
