data,id_ibge,cidade,gps,latitude,longitude,confirmado,suspeitos,obitos,populacao,recuperados
2020-05-19,2311959,SALITRE,"-7.285445,-40.457306",-7.285444999999999,-40.457306,4,1,1,16554,0
2020-05-19,2312106,SANTANA DO CARIRI,"-7.1861693,-39.7374262",-7.1861692999999995,-39.7374262,26,2,0,17700,11
2020-05-19,2313252,TARRAFAS,"-6.6819901,-39.7575709",-6.6819901,-39.7575709,2,3,0,8592,2
2020-05-19,2314003,VARZEA ALEGRE,"-6.7936089,-39.2989333",-6.793608900000001,-39.2989333,76,9,1,40721,15
2020-05-20,2300101,ABAIARA,"-7.3607808,-39.0487878",-7.360780800000001,-39.0487878,6,3,0,11737,2
2020-05-20,2300606,ALTANEIRA,"-6.9980933,-39.7385742",-6.998093300000001,-39.7385742,1,1,0,7586,0
2020-05-20,2300804,ANTONINA DO NORTE,"-6.7754187,-39.9879345",-6.7754187,-39.987934499999994,5,2,0,7353,2
2020-05-20,2301307,ARARIPE,"-7.212861,-40.1359222",-7.212861,-40.1359222,3,3,0,21600,2
2020-05-20,2301604,ASSARE,"-6.8746791,-39.8741385",-6.8746791,-39.8741385,15,2,1,23417,1
2020-05-20,2301703,AURORA,"-6.9426019,-38.9693765",-6.9426019,-38.9693765,8,3,1,24654,3
2020-05-20,2301901,BARBALHA,"-7.3121067,-39.3036427",-7.312106699999999,-39.303642700000005,84,96,2,59732,35
2020-05-20,2302008,BARRO,"-7.1713587,-38.7742136",-7.1713587,-38.7742136,6,0,0,22680,3
2020-05-20,2302503,BREJO SANTO,"-7.4909841,-38.9859152",-7.4909841,-38.9859152,51,35,3,49477,14
2020-05-20,2302701,CAMPOS SALES,"-7.0742675,-40.3740367",-7.0742675,-40.374036700000005,42,4,0,27426,28
2020-05-20,2303204,CARIRIACU,"-7.0417053,-39.2835527",-7.0417053,-39.2835527,17,8,1,26965,11
2020-05-20,2304202,CRATO,"-7.2369112,-39.4149236",-7.236911200000001,-39.4149236,76,78,1,132123,45
2020-05-20,2304301,FARIAS BRITO,"-6.9272823,-39.5714222",-6.927282300000001,-39.5714222,55,37,3,19450,27
2020-05-20,2304806,GRANJEIRO,"-6.8889524,-39.2179315",-6.888952400000001,-39.2179315,0,1,0,4844,0
2020-05-20,2307106,JARDIM,"-7.5838966,-39.279713",-7.5838966,-39.279713,4,5,0,27174,1
2020-05-20,2307205,JATI,"-7.6894344,-39.006074",-7.6894344,-39.006074,4,2,0,8111,2
2020-05-20,2307304,JUAZEIRO DO NORTE,"-7.2153453,-39.3153336",-7.215345299999999,-39.3153336,352,175,12,274207,91
2020-05-20,2307502,LAVRAS DA MANGABEIRA,"-6.7519554,-38.9634019",-6.7519554,-38.963401899999994,24,7,1,31508,14
2020-05-20,2308104,MAURITI,"-7.3870095,-38.7737751",-7.3870095000000005,-38.7737751,69,11,7,47962,26
2020-05-20,2308302,MILAGRES,"-7.3106846,-38.9447146",-7.310684599999999,-38.9447146,25,7,1,27512,13
2020-05-20,2308401,MISSAO VELHA,"-7.248491,-39.1434843",-7.2484910000000005,-39.1434843,63,14,0,36442,22
2020-05-20,2309201,NOVA OLINDA,"-7.0934174,-39.6789815",-7.0934174,-39.6789815,8,7,0,15565,7
2020-05-20,2310605,PENAFORTE,"-7.8288372,-39.0751908",-7.828837200000001,-39.0751908,4,1,0,9077,1
